step,segment,sim_time_sec,ref_x,ref_y,ref_yaw,ref_v,ref_w,x,y,yaw,v_meas,w_meas,e_x,e_y,e_psi,cmd_v,cmd_w,cmd_v_nom,cmd_w_nom,dv_pert,dw_pert
74,straight_1,6.300000,0.675000,0.000000,0.000000,0.250000,0.000000,0.657540,0.002789,-0.147942,0.270637,0.122649,0.017680,-0.000185,0.147942,0.268051,0.628085,0.261413,0.295551,0.006638,0.332534
75,straight_1,6.350000,0.687500,0.000000,0.000000,0.250000,0.000000,0.674204,0.000356,-0.131670,0.282158,0.381359,0.013228,0.001392,0.131670,0.265056,0.598380,0.258418,0.265847,0.006638,0.332534
76,straight_1,6.400000,0.700000,0.000000,0.000000,0.250000,0.000000,0.685329,-0.001104,-0.111744,0.279005,0.572422,0.014457,0.002733,0.111744,0.266644,0.560942,0.260006,0.228408,0.006638,0.332534
77,straight_1,6.450000,0.712500,0.000000,0.000000,0.250000,0.000000,0.702024,-0.002845,-0.072308,0.280675,0.655110,0.010243,0.003595,0.072308,0.264179,0.483621,0.257541,0.151087,0.006638,0.332534
78,straight_1,6.501000,0.725000,0.000000,0.000000,0.250000,0.000000,0.718760,-0.003940,-0.035080,0.278081,0.564810,0.006098,0.004156,0.035080,0.262842,-0.021099,0.254724,0.077641,0.008118,-0.098739
79,straight_1,6.550000,0.737500,0.000000,0.000000,0.250000,0.000000,0.729841,-0.004327,-0.014915,0.276673,0.441037,0.007594,0.004441,0.014915,0.264165,-0.060916,0.256047,0.037823,0.008118,-0.098739
80,straight_1,6.600000,0.750000,0.000000,0.000000,0.250000,0.000000,0.740907,-0.004496,-0.001288,0.276712,0.290476,0.009087,0.004508,0.001288,0.265388,-0.088050,0.257270,0.010689,0.008118,-0.098739
81,straight_1,6.650000,0.762500,0.000000,0.000000,0.250000,0.000000,0.757623,-0.004492,0.005039,0.279355,-0.054977,0.004900,0.004467,-0.005039,0.262035,-0.100776,0.253917,-0.002037,0.008118,-0.098739
82,straight_1,6.700000,0.775000,0.000000,0.000000,0.250000,0.000000,0.768765,-0.004447,-0.000077,0.277603,-0.149225,0.006234,0.004448,0.000077,0.263105,-0.090579,0.254987,0.008160,0.008118,-0.098739
83,straight_1,6.750000,0.787500,0.000000,0.000000,0.250000,0.000000,0.785380,-0.004480,-0.009471,0.276953,-0.154597,0.002077,0.004500,0.009471,0.203291,0.263430,0.251651,0.027042,-0.048359,0.236388
84,straight_1,6.800000,0.800000,0.000000,0.000000,0.250000,0.000000,0.796116,-0.004582,-0.013320,0.255184,-0.014627,0.003822,0.004633,0.013320,0.204676,0.271367,0.253036,0.034979,-0.048359,0.236388
85,straight_1,6.850000,0.812500,0.000000,0.000000,0.250000,0.000000,0.809695,-0.004737,-0.002976,0.215449,0.272609,0.002791,0.004745,0.002976,0.203873,0.250882,0.252232,0.014494,-0.048359,0.236388
86,straight_1,6.900000,0.825000,0.000000,0.000000,0.250000,0.000000,0.818303,-0.004755,0.009288,0.214652,0.293432,0.006741,0.004693,-0.009288,0.207023,0.226258,0.255382,-0.010130,-0.048359,0.236388
87,straight_1,6.950000,0.837500,0.000000,0.000000,0.250000,0.000000,0.831220,-0.004593,0.026515,0.216761,0.274395,0.006400,0.004425,-0.026515,0.206673,0.191324,0.255032,-0.045064,-0.048359,0.236388
88,straight_1,7.000000,0.850000,0.000000,0.000000,0.250000,0.000000,0.839929,-0.004361,0.036782,0.217916,0.240479,0.010225,0.003988,-0.036782,0.209652,0.170002,0.258011,-0.066386,-0.048359,0.236388
89,straight_1,7.050000,0.862500,0.000000,0.000000,0.250000,0.000000,0.852993,-0.003849,0.050214,0.218323,0.219270,0.009688,0.003367,-0.050214,0.209076,0.142022,0.257435,-0.094366,-0.048359,0.236388
90,straight_1,7.100000,0.875000,0.000000,0.000000,0.250000,0.000000,0.861731,-0.003409,0.058737,0.218817,0.207785,0.013446,0.002624,-0.058737,0.211966,0.123636,0.260326,-0.112751,-0.048359,0.236388
91,straight_1,7.151000,0.887500,0.000000,0.000000,0.250000,0.000000,0.874895,-0.002606,0.070202,0.220865,0.182083,0.012757,0.001716,-0.070202,0.287900,-0.086304,0.259589,-0.137316,0.028310,0.051012
92,straight_1,7.200000,0.900000,0.000000,0.000000,0.250000,0.000000,0.884062,-0.001958,0.075750,0.244639,0.069536,0.016040,0.000746,-0.075750,0.290426,-0.099145,0.262115,-0.150157,0.028310,0.051012
93,straight_1,7.250000,0.912500,0.000000,0.000000,0.250000,0.000000,0.900797,-0.000711,0.069995,0.305520,-0.144297,0.011724,-0.000110,-0.069995,0.287077,-0.089175,0.258767,-0.140187,0.028310,0.051012
94,straight_1,7.300000,0.925000,0.000000,0.000000,0.250000,0.000000,0.912938,0.000134,0.063961,0.302612,-0.146742,0.012029,-0.000905,-0.063961,0.287422,-0.078539,0.259112,-0.129551,0.028310,0.051012
95,straight_1,7.350000,0.937500,0.000000,0.000000,0.250000,0.000000,0.931045,0.001264,0.055398,0.302550,-0.134045,0.006375,-0.001619,-0.055398,0.283027,-0.062698,0.254716,-0.113710,0.028310,0.051012
96,straight_1,7.400000,0.950000,0.000000,0.000000,0.250000,0.000000,0.943040,0.001928,0.050709,0.297950,-0.106659,0.006853,-0.002279,-0.050709,0.283471,-0.054508,0.255161,-0.105520,0.028310,0.051012
97,straight_1,7.450000,0.962500,0.000000,0.000000,0.250000,0.000000,0.960908,0.002816,0.044722,0.298391,-0.093027,0.001465,-0.002884,-0.044722,0.279232,-0.043623,0.250922,-0.094635,0.028310,0.051012
98,straight_1,7.500000,0.975000,0.000000,0.000000,0.250000,0.000000,0.972743,0.003345,0.041459,0.293928,-0.074449,0.002116,-0.003435,-0.041459,0.279788,-0.038090,0.251478,-0.089102,0.028310,0.051012
99,straight_1,7.550000,0.987500,0.000000,0.000000,0.250000,0.000000,0.990383,0.004063,0.037285,0.294514,-0.065004,-0.003032,-0.003953,-0.037285,0.275711,-0.030673,0.247401,-0.081685,0.028310,0.051012
100,straight_1,7.600000,1.000000,0.000000,0.000000,0.250000,0.000000,1.002067,0.004499,0.034982,0.290222,-0.052344,-0.002223,-0.004424,-0.034982,0.213377,-0.124244,0.248068,-0.077926,-0.034691,-0.046318
101,straight_1,7.651000,1.012500,0.000000,0.000000,0.250000,0.000000,1.018851,0.005078,0.029017,0.258310,-0.174605,-0.006495,-0.004892,-0.029017,0.210007,-0.113158,0.244699,-0.066840,-0.034691,-0.046318
102,straight_1,7.700000,1.025000,0.000000,0.000000,0.250000,0.000000,1.028238,0.005356,0.022376,0.223696,-0.159343,-0.003357,-0.005283,-0.022376,0.212560,-0.100579,0.247252,-0.054261,-0.034691,-0.046318
103,straight_1,7.750000,1.037500,0.000000,0.000000,0.250000,0.000000,1.041637,0.005634,0.012284,0.223748,-0.171665,-0.004206,-0.005582,-0.012284,0.211925,-0.080935,0.246616,-0.034617,-0.034691,-0.046318
104,straight_1,7.800000,1.050000,0.000000,0.000000,0.250000,0.000000,1.050573,0.005742,0.006122,0.223079,-0.138135,-0.000608,-0.005738,-0.006122,0.214818,-0.068891,0.249509,-0.022573,-0.034691,-0.046318
105,straight_1,7.850000,1.062500,0.000000,0.000000,0.250000,0.000000,1.064049,0.005805,-0.001489,0.226124,-0.117578,-0.001540,-0.005808,0.001489,0.214077,-0.053794,0.248768,-0.007476,-0.034691,-0.046318
106,straight_1,7.900000,1.075000,0.000000,0.000000,0.250000,0.000000,1.073077,0.005791,-0.005651,0.225344,-0.091809,0.001956,-0.005780,0.005651,0.216869,-0.045421,0.251560,0.000898,-0.034691,-0.046318
107,straight_1,7.950000,1.087500,0.000000,0.000000,0.250000,0.000000,1.086685,0.005702,-0.010676,0.228283,-0.077517,0.000875,-0.005693,0.010676,0.293702,0.233440,0.250686,0.011105,0.043015,0.222335
108,straight_1,8.000000,1.100000,0.000000,0.000000,0.250000,0.000000,1.096131,0.005600,-0.011786,0.248786,0.051966,0.003935,-0.005554,0.011786,0.296146,0.235911,0.253131,0.013576,0.043015,0.222335
109,straight_1,8.050000,1.112500,0.000000,0.000000,0.250000,0.000000,1.113056,0.005450,0.001873,0.307865,0.314677,-0.000566,-0.005449,-0.001873,0.292562,0.208781,0.249547,-0.013554,0.043015,0.222335
110,straight_1,8.100000,1.125000,0.000000,0.000000,0.250000,0.000000,1.125442,0.005484,0.013170,0.309888,0.261031,-0.000514,-0.005478,-0.013170,0.292582,0.186134,0.249567,-0.036200,0.043015,0.222335
111,straight_1,8.150000,1.137500,0.000000,0.000000,0.250000,0.000000,1.143946,0.005777,0.027554,0.308086,0.220248,-0.006603,-0.005597,-0.027554,0.287638,0.157151,0.244623,-0.065183,0.043015,0.222335
112,straight_1,8.200000,1.150000,0.000000,0.000000,0.250000,0.000000,1.156230,0.006116,0.036224,0.306377,0.215117,-0.006447,-0.005887,-0.036224,0.287694,0.139292,0.244678,-0.083043,0.043015,0.222335
113,straight_1,8.250000,1.162500,0.000000,0.000000,0.250000,0.000000,1.174559,0.006822,0.048617,0.305409,0.199478,-0.012376,-0.006228,-0.048617,0.270955,-0.115381,0.239804,-0.108444,0.031151,-0.006937
114,straight_1,8.300000,1.175000,0.000000,0.000000,0.250000,0.000000,1.186430,0.007397,0.054739,0.286079,0.083297,-0.011817,-0.006760,-0.054739,0.271323,-0.128584,0.240172,-0.121647,0.031151,-0.006937
115,straight_1,8.353000,1.187500,0.000000,0.000000,0.250000,0.000000,1.203526,0.008312,0.049261,0.285603,-0.164132,-0.016416,-0.007512,-0.049261,0.267715,-0.118982,0.236564,-0.112045,0.031151,-0.006937
116,straight_1,8.400000,1.200000,0.000000,0.000000,0.250000,0.000000,1.214924,0.008868,0.042317,0.284420,-0.169556,-0.015286,-0.008229,-0.042317,0.268699,-0.106382,0.237547,-0.099446,0.031151,-0.006937
117,straight_1,8.450000,1.212500,0.000000,0.000000,0.250000,0.000000,1.231926,0.009556,0.031759,0.283019,-0.179282,-0.019719,-0.008934,-0.031759,0.265250,-0.086535,0.234099,-0.079598,0.031151,-0.006937
